house_id,ukut_id,ИТП,Дата введения,Марка,система,точка расположения,номер прибора,Дата поверки,Дата очередной поверки,Повторный ввод,Год поверки,arshin,vri_id,org_title,mit_number,mit_title,mit_notation,mi_modification,mi_number,verification_date,valid_date,result_docnum,applicability,sticker_num
aleschenkova-2,aleschenkova-2-itp1,ИТП-1,15/09/2009,КТПТР-01-100,гвс,термопары,2423/2423а,,10/04/2029,До 15.09.2025,поверка 2025,1,1-424846499,"ООО ПП ""ТЕХНОЛОГИЯ""",14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,2423/2423А,11.04.2025,10.04.2029,С-БУТ/11-04-2025/424846499,true,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,КАРАТ-2001-01,отопление,теплорегистратор,21000312,,19/06/2029,До 15.09.2025,поверка 2025,1,1-441256347,"ФБУ ""УРАЛТЕСТ""",30485-10,Теплорегистраторы,КАРАТ,мод. 2001-01,21000312,20.06.2025,19.06.2029,С-СЕ/20-06-2025/441256347,true,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,ЭРСВ-420Л-40,отопление,Т-1,01138808,,10/03/2026,До 15.09.2025,поверка 2022,0,,,,,,,,,,,,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,ЭРСВ-420Л-40,отопление,Т-2,01132038,,25/06/2027,До 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,КТСП-Н-80,отопление,термопары,30356г/30356х,,06/06/2027,До 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,ЭРСВ-420Л-25,гвс,Т-3,01155403,,25/06/2027,До 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,ЭРСВ-420Л-20,гвс,Т-4,01157569,,25/06/2027,До 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-3,aleschenkova-3-itp1,ИТП-1,04/05/2012,КТПТР-06-45,гвс,термопары,2972/2972А,,30/05/2026,До 15.09.2025,поверка 2022,5,,,,,,,,,,,,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,КАРАТ-2001-01,отопление,теплорегистратор,10530309,,08/06/2027,До 15.09.2025,замена 2023,2,,,,,,,,,,,,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,ПРЭМ-Д-40,отопление,Т-1,233339,,26/03/2029,До 15.09.2025,поверка 2025,2,,,,,,,,,,,,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,ПРЭМ-Д-40,отопление,Т-2,232392,,26/03/2029,До 15.09.2025,поверка 2025,1,1-421786923,"ФБУ ""УРАЛТЕСТ""",17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ,232392,27.03.2025,26.03.2029,С-СЕ/27-03-2025/421786923,true,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,КТПТР-01-100,отопление,термопары,7289А/7289,,25/03/2029,До 15.09.2025,поверка 2025,0,,,,,,,,,,,,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,МФ 2.2.1-Б-32,гвс,Т-3,201078466,,01/04/2029,До 15.09.2025,замена 2025,1,1-436240812,"ООО ""ИВТРЕЙД""",73383-18,Преобразователи расхода электромагнитные,МастерФлоу,Б,201078466,02.04.2025,01.04.2029,С-ДФП/02-04-2025/436240812,true,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,МФ 5.2.1-Б-15,гвс,Т-4,201026458,,25/03/2029,До 15.09.2025,поверка 2025,1,1-420568041,"ФБУ ""УРАЛТЕСТ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МастерФлоу,201026458,26.03.2025,25.03.2029,С-СЕ/26-03-2025/420568041,true,
aleschenkova-4,aleschenkova-4-itp1,ИТП-1,19/11/2009,КТПТР-01-60,гвс,термопары,7073/7073a,,25/03/2029,До 15.09.2025,поверка 2025,0,,,,,,,,,,,,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,КАРАТ-2001-01,отопление,теплорегистратор,08321208,,08/06/2027,до 15.09.2025,поверка 2020,0,,,,,,,,,,,,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,ВЭПС ПБ-40-ПБ2-01,отопление,Т-1,7401290,,21/07/2025,до 15.09.2025,поверка 2021,1,1-81534473,ООО «Метроконтроль»,14646-05,Преобразователи расхода вихревые электромагнитные,ВЭПС,ВЭПС-ПБ2-01,7401290,21.07.2021,20.07.2025,С-ДШТ/21-07-2021/81534473,true,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,ВЭПС ПБ-40-ПБ2-01,отопление,Т-2,7401320,,21/07/2025,до 15.09.2025,поверка 2021,1,1-81534475,ООО «Метроконтроль»,14646-05,Преобразователи расхода вихревые электромагнитные,ВЭПС,ВЭПС-ПБ2-01,7401320,21.07.2021,20.07.2025,С-ДШТ/21-07-2021/81534475,true,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,КТСП-Н-60,отопление,термопары,3294х/3294г,,09/07/2025,до 15.09.2025,поверка 2021,0,,,,,,,,,,,,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,МФ 2.5.1-Б-25,гвс,Т-3,025569711,,22/07/2028,до 15.09.2025,поперка 2024,1,1-357096889,"ФБУ ""УРАЛТЕСТ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МастерФлоу,025569711,23.07.2024,22.07.2028,С-СЕ/23-07-2024/357096889,true,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,МФ 2.2.1-Б-25,гвс,Т-4,025004217,,22/07/2028,до 15.09.2025,поперка 2024,1,1-357096890,"ФБУ ""УРАЛТЕСТ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МастерФлоу,025004217,23.07.2024,22.07.2028,С-СЕ/23-07-2024/357096890,true,
aleschenkova-5,aleschenkova-5-itp1,ИТП-1,14/09/2009,ТПТ-1-30-60,гвс,термопары,5721/5721А,,27/05/2025,до 15.09.2025,Замена 2021,1,1-92132512,"АО ""ТЭМ""",14638-95,Комплекты термометров платиновых технических разностных,КТПТР,КТПТР-01,5721/5721А,06.09.2021,05.09.2024,С-ДГС/06-09-2021/92132512,true,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,КАРАТ-2001-01,отопление,теплорегистратор,10390309,,07/06/2026,до 15.09.2025,поверка 2022,0,,,,,,,,,,,,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-50,отопление,Т-1,226679,,01/07/2029,до 15.09.2025,поверка 2025,1,1-445607504,ООО «ТЕСТПРОМ»,17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 50,226679,02.07.2025,01.07.2029,С-ДШЮ/02-07-2025/445607504,true,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-50,отопление,Т-2,230357,,01/07/2029,до 15.09.2025,поверка 2025,1,1-445607503,ООО «ТЕСТПРОМ»,17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 50,230357,02.07.2025,01.07.2029,С-ДШЮ/02-07-2025/445607503,true,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,КТПТР-01-100,отопление,термопары,1259А/1259,,01/07/2029,до 15.09.2025,поверка 2025,0,,,,,,,,,,,,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,ПРЭМ-40,гвс,Т-3,245507,,25/06/2027,до 15.09.2025,поверка 2023,9,,,,,,,,,,,,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,ПРЭМ-32,гвс,Т-4,764717,,14/08/2026,до 15.09.2025,поверка 2022,3,,,,,,,,,,,,
aleschenkova-7,aleschenkova-7-itp1,ИТП-1,27/11/2009,КТПТР-06-60,гвс,термопары,572А/572,,01/07/2029,до 15.09.2025,поверка 2025,1,1-445607501,ООО «ТЕСТПРОМ»,46156-10,Комплекты термометров сопротивления из платины технических разностных,"КТПТР-01, КТПТР-03, КТПТР-06, КТПТР-07, КТПТР-08",КТПТР-06,572А/572,02.07.2025,01.07.2029,С-ДШЮ/02-07-2025/445607501,true,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,КАРАТ-2001-01,отопление,теплорегистратор,10240309,,07/06/2028,До 15.09.2025,поверка 2024,3,,,,,,,,,,,,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-40,отопление,Т-1,232370,,26/03/2029,До 15.09.2025,поверка 2025,1,1-421786925,"ФБУ ""УРАЛТЕСТ""",17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ,232370,27.03.2025,26.03.2029,С-СЕ/27-03-2025/421786925,true,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-40,отопление,Т-2,232376,,26/03/2029,До 15.09.2025,поверка 2025,1,1-421786924,"ФБУ ""УРАЛТЕСТ""",17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ,232376,27.03.2025,26.03.2029,С-СЕ/27-03-2025/421786924,true,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,КТПТР-01-100,отопление,термопары,4007А/4007,,25/03/2029,До 15.09.2025,поверка 2025,0,,,,,,,,,,,,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,MTНI-32,гвс,Т-3,12852815,,22/06/2027,До 15.09.2025,поверка 2023,1,1-256583972,"ФБУ ""УРАЛТЕСТ""",48242-11,Счетчики холодной и горячей воды крыльчатые многоструйные,M,-32,12852815,23.06.2023,22.06.2027,С-СЕ/23-06-2023/256583972,true,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,MTWI-25,гвс,Т-4,13906195,,03/01/2029,До 15.09.2025,поверка 2025,1,1-426863359,"ФБУ ""УРАЛТЕСТ""",48242-11,Счетчики холодной и горячей воды крыльчатые многоструйные,M,M,13906195,15.04.2025,,И-СЕ/15-04-2025/426863359,false,
aleschenkova-7a,aleschenkova-7a-itp1,ИТП-1,27/11/2009,КТПТР-01-60,гвс,термопары,4257/4257А,,25/03/2029,До 15.09.2025,поверка 2025,1,1-420839178,"ФБУ ""УРАЛТЕСТ""",14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,4257/4257А,26.03.2025,25.03.2029,С-СЕ/26-03-2025/420839178,true,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,КАРАТ-2001-01,отопление,теплорегистратор,11000409,,08/06/2026,до 08.06.2025,поверка 2023,3,,,,,,,,,,,,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-50,отопление,Т-1,227719,,26/08/2025,до 08.06.2025,поверка 2021,13,,,,,,,,,,,,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,ПРЭМ-Д-50,отопление,Т-2,226721,,26/08/2025,до 08.06.2025,поверка 2021,10,,,,,,,,,,,,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,КТПТР-01-80,отопление,термопары,5247/5247a,,23/07/2025,до 08.06.2025,поверка 2021,0,,,,,,,,,,,,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,МФ 5.2.1-Б-25,гвс,Т-3,025570811,,15/09/2028,до 08.06.2025,поперка 2024,1,1-372531790,"ООО ПП ""ТЕХНОЛОГИЯ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-5.2.1-Б-25,025570811,23.09.2024,22.09.2028,С-БУТ/23-09-2024/372531790,true,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,МФ 2.2.1-Б-20,гвс,Т-4,020005786,,15/09/2028,до 08.06.2025,поперка 2024,1,1-370725981,"ООО ПП ""ТЕХНОЛОГИЯ""",31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-2.2.1-Б-20,020005786,16.09.2024,15.09.2028,С-БУТ/16-09-2024/370725981,true,
aleschenkova-7b,aleschenkova-7b-itp1,ИТП-1,27/11/2009,КТПТР-01-60,гвс,термопары,5423А/5423,,23/07/2025,до 08.06.2025,поверка 2021,0,,,,,,,,,,,,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,КАРАТ-2001-01,отопление,теплорегистратор,20960312,,08/06/2026,до 15.09.2025,поверка 2022,0,,,,,,,,,,,,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,ЭРСВ-420Л-40,отопление,Т-1,01138896,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,ЭРСВ-420Л-40,отопление,Т-2,01137825,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,КТСП-Н-80,отопление,термопары,43961х/43961г,,07/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,ЭРСВ-420Л-25,гвс,Т-3,01150015,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,ЭРСВ-420Л-20,гвс,Т-4,01117700,,26/06/2027,до 15.09.2025,поверка 2023,1,1-264706620,"ООО ЭТЦ ""ТЕХАУДИТ""",16666-97,Счетчики электроэнергии многофункциональные,ЕвроАЛЬФА,EA05RL-B-3,01117700,27.06.2023,26.06.2031,С-ГЭА/27-06-2023/264706620,true,
aleschenkova-8,aleschenkova-8-itp1,ИТП-1,17/05/2012,КТПТР-06-45,гвс,термопары,1613/1613А,,07/06/2027,до 15.09.2025,поверка 2023,6,,,,,,,,,,,,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,КАРАТ-2001-01,отопление,теплорегистратор,10260309,,08/06/2026,До 08.06.2026,поверка 2023,3,,,,,,,,,,,,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,ПРЭМ-Д-40,отопление,Т-1,225346,,03/07/2029,До 08.06.2026,поверка 2025,1,1-445607548,ООО «ТЕСТПРОМ»,17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 40,225346,04.07.2025,03.07.2029,С-ДШЮ/04-07-2025/445607548,true,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,ПРЭМ-Д-40,отопление,Т-2,225355,,03/07/2029,До 08.06.2026,поверка 2025,1,1-445607547,ООО «ТЕСТПРОМ»,17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ 40,225355,04.07.2025,03.07.2029,С-ДШЮ/04-07-2025/445607547,true,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,КТПТР-01-100,отопление,термопары,4117/4117a,,03/07/2029,До 08.06.2026,поверка 2025,1,1-445607546,ООО «ТЕСТПРОМ»,14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,4117/4117a,04.07.2025,03.07.2029,С-ДШЮ/04-07-2025/445607546,true,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,МФ 2.2.1-Б-25,гвс,Т-3,201026637,,03/07/2029,До 08.06.2026,поверка 2025,1,1-445607545,ООО «ТЕСТПРОМ»,31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-2.2.1-Б-25,201026637,04.07.2025,03.07.2029,С-ДШЮ/04-07-2025/445607545,true,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,МФ 5.2.1-Б-15,гвс,Т-4,201026443,,03/07/2029,До 08.06.2026,поверка 2025,1,1-445607544,ООО «ТЕСТПРОМ»,31001-12,Преобразователи расхода электромагнитные,МастерФлоу,МФ-5.2.1-Б-15,201026443,04.07.2025,03.07.2029,С-ДШЮ/04-07-2025/445607544,true,
aleschenkova-9,aleschenkova-9-itp1,ИТП-1,14/09/2009,КТПТР-01-60,гвс,термопары,3128А/3128,,03/07/2029,До 08.06.2026,поверка 2025,1,1-445607543,ООО «ТЕСТПРОМ»,14638-05,Комплекты термометров (термопреобразователей) платиновых технических разностных,КТПТР,КТПТР-01,3128А/3128,04.07.2025,03.07.2029,С-ДШЮ/04-07-2025/445607543,true,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,КАРАТ-2001-01,отопление,теплорегистратор,21650412,,02/09/2028,до 15.09.2025,поверка 2024,1,1-367022251,"ООО ПП ""ТЕХНОЛОГИЯ""",30485-10,Теплорегистраторы,КАРАТ,КАРАТ-2001-01,21650412,03.09.2024,02.09.2028,С-БУТ/03-09-2024/367022251,true,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,ЭРСВ-420Л-40,отопление,Т-1,1200666,,04/09/2028,до 15.09.2025,поверка 2024,5,,,,,,,,,,,,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,ЭРСВ-420Л-40,отопление,Т-2,1033961,,04/09/2028,до 15.09.2025,поверка 2024,3,,,,,,,,,,,,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,КТСП-Н-80,отопление,термопары,23184г/23184х,,29/08/2028,до 15.09.2025,поверка 2024,1,1-366582461,"ООО ПП ""ТЕХНОЛОГИЯ""",38878-12,Комплекты термопреобразователей сопротивления,КТСП-Н,КТСП-Н,23184Г/23184Х,30.08.2024,29.08.2028,С-БУТ/30-08-2024/366582461,true,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,ЭРСВ-420Л-25,гвс,Т-3,1201333,,10/09/2028,до 15.09.2025,поверка 2024,2,,,,,,,,,,,,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,ЭРСВ-420Л-20,гвс,Т-4,1158583,,10/09/2028,до 15.09.2025,поверка 2024,3,,,,,,,,,,,,
aleschenkova-10,aleschenkova-10-itp1,ИТП-1,18/12/2012,КТПТР-06-45,гвс,термопары,3438/3438А,,29/08/2028,до 15.09.2025,поверка 2024,6,,,,,,,,,,,,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,КАРАТ-2001-01,отопление,теплорегистратор,20890312,,08/06/2027,до 15.09.2025,поверка 2023,1,1-253934045,"ФБУ ""УРАЛТЕСТ""",30485-10,Теплорегистраторы,КАРАТ,КАРАТ мод.2001-01,20890312,08.06.2023,07.06.2027,С-СЕ/08-06-2023/253934045,true,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,ЭРСВ-420Л-40,отопление,Т-1,01138836,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,ЭРСВ-420Л-40,отопление,Т-2,01137776,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,КТСП-Н-80,отопление,термопары,43959х/43959г,,06/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,ЭРСВ-420Л-25,гвс,Т-3,01152758,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,ЭРСВ-420Л-20,гвс,Т-4,01033687,,26/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-11,aleschenkova-11-itp1,ИТП-1,15/05/2012,КТПТР-06-45,гвс,термопары,329/329А,,07/06/2027,до 15.09.2025,поверка 2023,8,,,,,,,,,,,,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,КАРАТ-2001-01,отопление,теплорегистратор,10490512,,13/06/2028,до 15.09.2025,поверка 2024,2,,,,,,,,,,,,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,ЭРСВ-420Л-40,отопление,Т-1,1200679,,02/07/2028,до 15.09.2025,поверка 2024,3,,,,,,,,,,,,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,ЭРСВ-420Л-40,отопление,Т-2,1205102,,02/07/2028,до 15.09.2025,поверка 2024,5,,,,,,,,,,,,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,КТСП-Н-80,отопление,термопары,23195х/23195г,,06/06/2028,до 15.09.2025,поверка 2024,0,,,,,,,,,,,,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,ЭРСВ-420Л-25,гвс,Т-3,1154936,,16/07/2028,до 15.09.2025,поверка 2024,2,,,,,,,,,,,,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,ЭРСВ-420Л-20,гвс,Т-4,1215622,,16/07/2028,до 15.09.2025,поверка 2024,1,1-357096816,"ФБУ ""УРАЛТЕСТ""",20293-10,Расходомеры-счетчики электромагнитные,ВЗЛЕТ ЭР,ВЗЛЕТ ЭР,1215622,16.07.2024,15.07.2028,С-СЕ/16-07-2024/357096816,true,
aleschenkova-12,aleschenkova-12-itp1,ИТП-1,11/01/2013,КТПТР-06-45,гвс,термопары,1944А/1944,,07/06/2027,до 15.09.2025,поверка 2023,0,,,,,,,,,,,,
aleschenkova-13,aleschenkova-13-itp1,ИТП-1,14/09/2009,КАРАТ-2001-01,отопление,теплорегистратор,09310209,,08/06/2026,до 15.09.2025,поверка 2023,1,1-253933468,"ФБУ ""УРАЛТЕСТ""",30485-05,Теплорегистраторы,КАРАТ,КАРАТ 2001-01,09310209,08.06.2023,07.06.2027,С-СЕ/08-06-2023/253933468,true,
aleschenkova-13,aleschenkova-13-itp1,ИТП-1,14/09/2009,ПРЭМ-Д-40,отопление,Т-1,230077,,26/03/2029,до 15.09.2025,поверка 2025,1,1-421786926,"ФБУ ""УРАЛТЕСТ""",17858-06,Преобразователи расхода электромагнитные,ПРЭМ,ПРЭМ,230077,27.03.2025,26.03.2029,С-СЕ/27-03-2025/421786926,true,
